Q A-1	193	194	195	196	197	198	199	200	201
0.1749625	49.65139544	51.61351013	51.48897843	49.18962017	57.73528122	72.88298126	60.28836296	76.38445764	69.31701722
0.1811875	50.18754434	53.33020866	53.10661285	54.57075711	59.94865222	62.05506729	63.37643122	65.33288179	68.88886201
0.1874125	50.94995833	43.82518441	51.51110959	55.94479279	60.06003775	58.11569946	59.81169618	65.83937795	63.4245703
0.1936375	48.41557763	47.62602446	51.89592426	49.39597557	60.81412566	63.09643174	63.59762958	65.92282183	63.91916655
0.1998625	48.72740496	45.22796718	51.06762115	50.96648314	59.00754604	61.27856308	64.01544304	69.56239384	66.93559125
0.2060875	44.1355876	48.38620959	52.05556109	51.51353596	61.41843225	64.07104009	63.00683523	70.15285889	69.32213607
0.2123125	48.51364858	50.56813902	52.75840183	52.26290356	61.43610939	63.62800016	69.87399171	76.92943763	74.58277143
0.2185375	47.56278251	48.63690718	54.57230365	52.27049775	63.622475	67.90702554	71.53182226	82.28388781	77.91077385
0.2247625	49.71661453	50.26766908	53.78336829	55.71075475	69.33652718	72.83764474	76.32764376	85.25561413	87.50482597
0.2309875	50.13748937	50.50523395	54.7087125	55.18970235	69.45803221	81.27490899	88.57507936	98.21788097	99.69344393
0.2372125	49.56175689	49.93921552	57.11387422	58.8240597	74.81076745	84.37004693	92.3523672	105.0488568	107.669813
0.2434375	51.51948087	52.80977836	58.33204477	63.34747248	78.56197903	88.8956734	96.47580247	104.4348566	116.5704574
0.2496625	53.54107934	53.23571532	61.86907364	63.39236494	83.18061811	96.25190787	103.7795805	115.4614194	139.7801158
0.2558875	53.57955564	56.09369495	65.6036445	68.20496377	92.27676949	105.7300369	111.4558245	125.7571134	161.2142362
0.2621125	56.11145488	56.78638208	69.36317268	74.54295673	99.55679155	118.7504603	128.4813603	141.0640643	182.9514688
0.2683375	59.6029398	58.99534009	70.30804327	82.12467089	112.2326622	130.7074801	138.0972982	160.2669192	219.7504016
0.2745625	62.01260208	64.23815648	79.79460582	93.45778468	126.5004988	152.2664269	164.3106182	187.9159169	273.1816292
0.2807875	67.03538892	70.34190376	84.89331737	102.2911802	145.1320389	172.6074723	192.0233625	214.9056707	331.766945
0.2870125	69.82973431	73.57137541	90.6790511	117.1148956	158.1700115	196.1073072	218.5194071	251.4756915	395.3457797
0.2932375	74.42925475	80.48558571	99.64328838	126.959735	178.9230577	217.9952618	251.1141683	274.4022139	443.8381885
0.2994625	78.63448818	84.26222999	103.1559504	135.1830831	192.0356617	236.0563562	271.1849742	303.6823821	473.3382623
0.3056875	84.9804443	89.09025442	111.9650379	150.5004124	212.7845137	261.8648069	300.2409418	338.2842033	476.2478921
0.3119125	83.47655532	89.38694604	114.5732938	152.5858609	218.617113	263.5970888	304.3958991	337.3643255	424.7385268
0.3181375	86.10232249	87.87027368	112.7062065	146.8014701	209.6414566	254.6951388	292.7395184	325.4453714	358.6237596
0.3243625	83.61148587	84.62669044	108.3786367	139.1637632	193.4562645	241.1534182	273.7112937	303.1985169	307.1245343
0.3305875	82.29741265	84.0966895	104.4490201	135.698658	181.3624892	229.8390897	258.0233582	289.1382558	261.9566632
0.3368125	77.16385283	77.74493298	97.71116209	114.1483974	162.3723375	196.5273016	219.8152418	247.1068673	210.4098498
0.3430375	71.06800407	71.83572361	87.20064342	104.0990994	140.4093258	168.6792211	187.1188713	210.6027333	168.526811
