frame,temperature_C,window,q_Ainv,observed_intensity,total_fit_intensity,background_intensity,residual_intensity,standardized_residual,component_q0295_broad,component_q0307_narrow,component_q0334,component_q0480,component_q0536,component_q0604,component_q0642,component_q0754,component_q0947,component_q1532,component_q1713,component_q1750,component_q1999,component_q2086,component_q2117,component_q2279
193,40.0,lamellar_low_q,0.2247625,50.55591212,50.386801666977014,47.0491981274171,0.16911045302298788,0.23762767292115058,2.609713376788024,0.49166106959635547,0.23622909317554144,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2309875,50.94926119,50.79082906077752,46.91998289530938,0.15843212922248284,0.2226228923765226,3.0352771208793334,0.571399687793301,0.2641693567954956,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2372125,51.05428028,51.3041288885161,46.790767663201656,-0.24984860851609625,-0.3510779041919838,3.544206393974414,0.6718155951897625,0.2973392361502627,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2434375,52.17718705,51.94414402462867,46.66155243109394,0.23304302537133026,0.3274633283725292,4.144939440077284,0.800533359555683,0.3371187939017642,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2496625,53.480323,52.72264802837156,46.53233719898621,0.7576749716284397,1.0646564840920314,4.836022073340506,0.9689181712205425,0.3853705848242944,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2558875,53.09533023,53.63749137176923,46.403121966878494,-0.5421611417692276,-0.7618245245276638,5.595312457301834,1.1944022797982254,0.4446546677906732,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2621125,53.55974301,54.66334899570532,46.27390673477077,-1.1036059857053218,-1.5507457848827346,6.366321755984504,1.5045579360335457,0.5185625689165082,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2683375,56.33060662,55.7511113217603,46.14469150266305,0.5794952982396993,0.8142850824882432,7.049792276964206,1.9443772393345273,0.6122503027985142,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2745625,57.15728557,56.85484427619136,46.015476270555325,0.3024412938086414,0.4249791751976447,7.516775648867394,2.589277211460649,0.7333151453079894,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2807875,58.45036507,58.00103434606172,45.88626103844761,0.44933072393827445,0.6313826992522688,7.65465769287795,3.5668289077507795,0.8932867069853859,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2870125,58.63187565,59.375738547917436,45.75704580633988,-0.7438628979174382,-1.0452482755780697,7.426159868710974,5.082276166752584,1.1102567061139943,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2932375,61.5455474,61.31846562885911,45.62783057423216,0.22708177114088812,0.3190867972643146,6.892044822155891,7.38489041192852,1.4136998205425373,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.2994625,63.64444689,63.910363917684116,45.49861534212444,-0.26591702768411807,-0.3736566448089201,6.1748758769516465,10.383218161975561,1.8536545366324708,,,,,,,,,,,,,
193,40.0,lamellar_low_q,0.3056875,66.50808107,65.8729972846215,45.36940011001672,0.6350837853784981,0.8923959420115423,5.399149221406653,12.585720644316476,2.518727308881661,,,,,,,,,,,,,
