frame,temperature_C,window,window_title,profile,eta_shared,noise_sigma_empirical,condition_number,optimizer_success,optimizer_message,parameters_at_bounds,quality_flags,n_points,n_parameters,chi2_empirical,reduced_chi2_empirical,rmse_intensity,nrmse_range,aic,aicc,bic,r_squared_descriptive,durbin_watson,residual_lag1,max_abs_standardized_residual,bootstrap_block_length
193,40.0,lamellar_low_q,FR descriptive three-component low-q model,lorentzian,,0.7116614447472285,31347421.75546918,True,`ftol` termination condition is satisfied.,q0295_broad.center,parameter_at_bound,35.0,11.0,28.42281924943288,1.1842841353930367,0.6413173545148314,0.027446253937044515,14.714548951146094,26.19280982071131,31.823377627529638,0.9923812501971649,1.6547204750299114,0.12074931365274064,1.8637345363068623,0
193,40.0,heated_low_q_0480_0536,Heating-induced q = 0.480 / 0.536 A^-1 pair,lorentzian,,0.4307508543854736,334748.3273450471,True,`ftol` termination condition is satisfied.,,,21.0,8.0,12.714149875917098,0.9780115289166998,0.3351661598396539,0.04210748509917651,5.462055078573643,17.46205507857364,13.818234580361027,0.9720019729448343,1.6791894017167515,0.04386996351696082,1.8568038527039248,0
193,40.0,heated_low_q_0604_0642,Heating-induced q = 0.604 / 0.642 A^-1 pair,gaussian,,0.36638919137203535,8511.897592439933,True,`ftol` termination condition is satisfied.,q0604.fwhm,parameter_at_bound,19.0,8.0,6.1538836168099795,0.5594439651645436,0.20851653146837867,0.04370939752300655,-5.419756670579076,8.980243329420924,2.135755162752446,0.9804595761995881,2.516568787363441,-0.4434600222036622,1.2976430795303366,0
193,40.0,q0754,Nominal q = 0.754 A^-1 reflection,gaussian,,0.4075227776213692,967191.6295326479,True,`ftol` termination condition is satisfied.,,,16.0,5.0,1.9113049421976644,0.17375499474524222,0.14085001182738108,0.010983366613779872,-23.996839962505902,-17.996839962505902,-20.133896351306994,0.9984961540769048,2.501256566041108,-0.2948070489909946,0.7355774508685646,0
193,40.0,q0947,Nominal q = 0.947 A^-1 reflection,gaussian,,0.21502417398377696,42169.69949033452,True,`ftol` termination condition is satisfied.,,,21.0,5.0,16.4177733135941,1.0261108320996313,0.19012304796267837,0.03620204714242486,4.8306830273145085,8.830683027314508,10.053295215931623,0.9789748105850788,2.3730555316372426,-0.32013171631755977,1.7600833322356646,0
193,40.0,q1532,Nominal q = 1.532 A^-1 reflection,pseudo_voigt,0.401939,0.4223831806891219,61499324.680394635,True,`ftol` termination condition is satisfied.,,large_standardized_residual,26.0,5.0,1276.6776737023781,60.794174938208485,2.959787788661943,0.01807082347627796,111.24191680582003,114.24191680582003,117.53239949592744,0.9944955147633698,2.130154076466068,-0.06637546080175045,20.381148556842824,0
193,40.0,pi_pi_sharp_pair,Low-temperature sharp q = 1.713 / 1.750 A^-1 pair,gaussian,,0.9202029489440439,1880325.5593768759,True,`ftol` termination condition is satisfied.,,,26.0,8.0,13.39732829827978,0.7442960165710989,0.660550531897975,0.022968781909598415,-1.2390720233936143,7.231516211900503,8.825700280778243,0.9924679496551512,1.41148204228026,0.2284170450882014,1.8034479317086356,0
193,40.0,q1999_single,Nominal q = 1.999 A^-1 reflection,lorentzian,,1.1730649847375427,16604055.180602284,True,`ftol` termination condition is satisfied.,,large_standardized_residual,16.0,5.0,218.88939519449036,19.89903592677185,4.338848048238964,0.06911939827084226,51.85564536359415,57.85564536359415,55.71858897479306,0.95244628546408,1.0278466979673435,0.4571160689151083,7.704579708747995,0
193,40.0,q2086_q2117_pair,Nominal q = 2.086 / 2.117 A^-1 pair,gaussian,,0.6063869858098225,1372420.669338142,True,`ftol` termination condition is satisfied.,,,21.0,8.0,31.66442594752705,2.4357250728866964,0.7446051473189487,0.04768523189354957,24.624099466226767,36.62409946622677,32.980278968014154,0.9826075507401629,2.7061035464920176,-0.37804129232793215,3.348116533926998,0
193,40.0,q2279,Early-temperature q = 2.279 A^-1 candidate,gaussian,,0.38290545832663525,64018.9724829713,True,Both `ftol` and `xtol` termination conditions are satisfied.,,,16.0,5.0,14.849292436361898,1.3499356760328998,0.36887943670448337,0.054772776435844196,8.805815911851482,14.805815911851482,12.668759523050388,0.9638257096427653,1.616872050719319,0.17854451923763426,2.323603041446299,0
