frame,temperature_C,window,window_title,peak,peak_label,provisional_assignment,position_only,reference_like_component,suppress_fwhm_interpretation,profile,eta_shared,detection_status,delta_bic_peak,area_snr,area_total,area_total_ci95_low,area_total_ci95_high,area_total_ci_method,area_in_window,area_in_window_ci95_low,area_in_window_ci95_high,area_in_window_ci_method,captured_area_fraction,q0_fit_Ainv,q0_ci95_low_Ainv,q0_ci95_high_Ainv,q0_ci_method,q0_reported_Ainv,d_fit_A,d_ci95_low_A,d_ci95_high_A,d_ci_method,d_reported_A,apparent_fwhm_fit_Ainv,apparent_fwhm_ci95_low_Ainv,apparent_fwhm_ci95_high_Ainv,apparent_fwhm_ci_method,apparent_fwhm_reported_Ainv,points_across_fwhm,position_reportable,fwhm_reportable,reference_frame_for_weak_fit,reference_temperature_C,bootstrap_requested,bootstrap_successes,quality_flags
193,40.0,lamellar_low_q,FR descriptive three-component low-q model,q0295_broad,broad low-q component,True,False,False,False,lorentzian,1.0,not_detected,23.416656611365184,0.6582728826876788,0.955474482785098,-1.8894398916496744,3.80038885721987,covariance_approx_95pct,0.6900352622348992,-1.3645368605880441,2.7446073850578423,covariance_approx_95pct,0.722191198893691,0.2800000000000001,0.2410065274957184,0.3189934725042817,covariance_approx_95pct,,22.439947525641372,19.314906536932014,25.56498851435073,covariance_approx_95pct,,0.07943332342952317,-0.03875638530090886,0.1976230321599552,covariance_approx_95pct,,12.76037324169048,False,False,193,40.0,0,0,parameter_at_bound;peak_not_detected;profile_tails_outside_window;peak_shape_at_bound;provisional_unassigned_component
193,40.0,lamellar_low_q,FR descriptive three-component low-q model,q0307_narrow,0.307 narrow component,True,False,False,False,lorentzian,1.0,not_detected,6.983295861995472,1.2551467023490404,0.6608782534010755,-0.3711296977347398,1.6928862045368909,covariance_approx_95pct,0.5923430379906588,-0.33264234601972276,1.5173284220010403,covariance_approx_95pct,0.8962967610785887,0.30729074218363905,0.30386446049433685,0.31071702387294126,covariance_approx_95pct,,20.447037429538675,20.21905363332187,20.67502122575548,covariance_approx_95pct,,0.03311856205745358,0.010874005805015914,0.05536311830989125,covariance_approx_95pct,,5.320250932924274,False,False,193,40.0,0,0,parameter_at_bound;peak_not_detected;profile_tails_outside_window;provisional_unassigned_component
193,40.0,lamellar_low_q,FR descriptive three-component low-q model,q0334,0.337 to 0.331 shoulder,False,False,False,False,lorentzian,1.0,strong,67.50161065174326,5.062567867434104,0.6736543979515841,0.4128455249528477,0.9344632709503204,covariance_approx_95pct,0.6161561754112155,0.3776080442198262,0.8547043066026048,covariance_approx_95pct,0.9146472988000873,0.33743137215001645,0.3355388549198426,0.3393238893801903,covariance_approx_95pct,0.33743137215001645,18.620631706959912,18.516196052036644,18.72506736188318,covariance_approx_95pct,18.620631706959912,0.028414173966770158,0.021507323736485524,0.03532102419705479,covariance_approx_95pct,,4.564525938436978,True,False,193,40.0,0,0,parameter_at_bound;fwhm_undersampled
193,40.0,heated_low_q_0480_0536,Heating-induced q = 0.480 / 0.536 A^-1 pair,q0480,0.480,False,False,False,False,lorentzian,1.0,not_detected,2.637992042732048,1.3175779534006997,0.041602805876967006,-0.02028461361756445,0.10349022537149846,covariance_approx_95pct,0.035718260918769396,-0.017415438852159716,0.0888519606896985,covariance_approx_95pct,0.8585541327284482,0.4685622718894533,0.46317466016041076,0.4739498836184959,covariance_approx_95pct,,13.409498980451337,13.25531419366443,13.563683767238244,covariance_approx_95pct,,0.018751984173500703,-0.005924878026538315,0.04342884637353972,covariance_approx_95pct,,3.0123669355021234,False,False,193,40.0,0,0,peak_not_detected;fwhm_undersampled;profile_tails_outside_window
193,40.0,heated_low_q_0480_0536,Heating-induced q = 0.480 / 0.536 A^-1 pair,q0536,0.536,False,False,False,False,lorentzian,1.0,strong,51.4344191845844,6.718836146189776,0.16804146277711055,0.11902087946821172,0.21706204608600937,covariance_approx_95pct,0.14932083968347795,0.10576138393672811,0.19288029543022778,covariance_approx_95pct,0.8885952146318582,0.5325304899562132,0.5313781378865866,0.5336828420258398,covariance_approx_95pct,0.5325304899562132,11.798733454109295,11.773201967797714,11.824264940420875,covariance_approx_95pct,11.798733454109295,0.01766975797412042,0.012420664052337261,0.02291885189590358,covariance_approx_95pct,,2.8385153372081025,True,False,193,40.0,0,0,fwhm_undersampled;profile_tails_outside_window
193,40.0,heated_low_q_0604_0642,Heating-induced q = 0.604 / 0.642 A^-1 pair,q0604,0.604,False,False,False,False,gaussian,0.0,unresolved,2.5388070895043633,2.2077061078375357,0.00832858196713614,0.000934472489595068,0.015722691444677212,covariance_approx_95pct,0.008335851263701647,0.000935288109551259,0.015736414417852035,covariance_approx_95pct,1.0008728132344968,0.6037620702002368,0.5998962289384956,0.6076279114619779,covariance_approx_95pct,,10.406724134054624,10.340090694256652,10.473357573852596,covariance_approx_95pct,,0.009000000000000001,0.001952729808934686,0.016047270191065315,covariance_approx_95pct,,1.445783132530122,False,False,193,40.0,0,0,parameter_at_bound;peak_unresolved_or_bound;fwhm_undersampled;peak_shape_at_bound
193,40.0,heated_low_q_0604_0642,Heating-induced q = 0.604 / 0.642 A^-1 pair,q0642,0.642,False,False,False,False,gaussian,0.0,strong,23.635546036976038,5.396895668521491,0.029716981315764033,0.01892461345165557,0.04050934917987249,covariance_approx_95pct,0.02971698131030337,0.018924613448178064,0.040509349172428676,covariance_approx_95pct,0.9999999998162443,0.6383314553759446,0.6359238451627034,0.6407390655891858,covariance_approx_95pct,0.6383314553759446,9.843139100013662,9.806013493829036,9.880264706198288,covariance_approx_95pct,9.843139100013662,0.01724639693657287,0.011056658792798404,0.023436135080347333,covariance_approx_95pct,,2.77050553197958,True,False,193,40.0,0,0,parameter_at_bound;fwhm_undersampled
193,40.0,q0754,Nominal q = 0.754 A^-1 reflection,q0754,0.754,False,False,False,False,gaussian,0.0,strong,94.90591584860776,62.208551542674854,0.15918310850725745,0.15416773867566452,0.16419847833885037,covariance_approx_95pct,0.15917988192695423,0.15416461375497623,0.16419515009893224,covariance_approx_95pct,0.9999797303851302,0.7502668294843209,0.7501272470071415,0.7504064119615003,covariance_approx_95pct,0.7502668294843209,8.374600955633602,8.37304291321344,8.376158998053763,covariance_approx_95pct,8.374600955633602,0.011121297491408078,0.01070471471625599,0.011537880266560167,covariance_approx_95pct,,1.7865538138808172,True,False,193,40.0,0,0,fwhm_undersampled
193,40.0,q0947,Nominal q = 0.947 A^-1 reflection,q0947,0.947,False,False,False,False,gaussian,0.0,strong,65.08266773703625,17.55854543446343,0.07099247644923029,0.06306783062023236,0.07891712227822822,covariance_approx_95pct,0.07099247644863084,0.06306783061969981,0.07891712227756187,covariance_approx_95pct,0.9999999999915561,0.93740129033512,0.9366280032209088,0.9381745774493312,covariance_approx_95pct,0.93740129033512,6.702770064390838,6.697240772108275,6.7082993566734,covariance_approx_95pct,6.702770064390838,0.01689451741437321,0.01495448619242903,0.01883454863631739,covariance_approx_95pct,,2.7139787011041325,True,False,193,40.0,0,0,fwhm_undersampled
193,40.0,q1532,Nominal q = 1.532 A^-1 reflection,q1532,1.532,False,False,False,False,pseudo_voigt,0.401939,strong,125.4435386806867,45.24603928064374,3.0183844196046574,2.887631903882115,3.1491369353271996,covariance_approx_95pct,2.9445144494353626,2.816961885439728,3.0720670134309973,covariance_approx_95pct,0.9755266527054992,1.5336490018267248,1.5333771915775414,1.5339208120759082,covariance_approx_95pct,1.5336490018267248,4.096886119115719,4.096160023616953,4.097612214614484,covariance_approx_95pct,4.096886119115719,0.014836507226188072,0.014109680861910596,0.015563333590465548,covariance_approx_95pct,,2.383374654809331,True,False,193,40.0,0,0,large_standardized_residual;fwhm_undersampled
